Entity,Output-side real GDP per capita (2011 international-$),Life expectancy (years)
Jamaica,6675.1768,74.038
Japan,36595.633,82.971
Jordan,9351.3877,73.428
Kazakhstan,17908.842,67.378
Kenya,2484.0349,60.958999999999996
Kuwait,67029.523,74.358
Kyrgyzstan,3382.4641,68.84899999999999
Laos,4316.9697,64.306
Latvia,16943.688000000002,72.83800000000001
Lebanon,18025.25,78.36
Lesotho,2432.7976,45.1
Liberia,786.67023,59.6
Lithuania,18475.371,72.82600000000001
Luxembourg,57882.809,80.352
Macao,91982.391,82.704
Macedonia,11265.643999999998,74.66199999999999
Madagascar,1459.9155,63.388000000000005
Malawi,972.04572,55.56399999999999
Malaysia,17913.164,74.493
Maldives,12140.803999999998,75.905
Mali,1873.281,55.251000000000005
Malta,22983.451,80.868
Mauritania,3082.647,62.527
Mauritius,15178.326000000001,73.46
Mexico,14507.013,75.065
Moldova,4173.6348,69.616
Mongolia,7670.7139,67.38
Montenegro,14960.948,75.15100000000001
Montserrat,15385.003,72.969
Morocco,6421.9375,74.382
Mozambique,969.2307699999999,52.31
Myanmar,3422.2415,63.525
Namibia,7689.1714,56.665
Nepal,1996.1962,67.611
Netherlands,44004.145,80.797
New Zealand,30867.053,80.86
Nicaragua,3992.762,72.428
Niger,845.8693199999999,57.333
Nigeria,5186.3047,50.896
Norway,73262.68,81.156
Oman,40472.676,75.682
Pakistan,4171.4165,65.264
Palestine,4423.2095,72.788
Panama,15055.237,76.792
Paraguay,6825.2051,72.653
Peru,9262.1641,74.41
Philippines,5391.2339,69.82300000000001
Poland,21006.027000000002,76.33
Portugal,25788.272999999997,79.995
Qatar,123128.4,79.108
Romania,16775.609,74.066
Russia,21754.066000000003,68.715
Rwanda,1379.6993,63.433
Saint Kitts and Nevis,17837.35,74.305
Saint Lucia,9178.2676,74.852
Saint Vincent and the Grenadines,8095.2192,71.77600000000001
Sao Tome and Principe,3081.9265,67.43
Saudi Arabia,42331.66,73.917
Senegal,2741.1213,64.28399999999999
Serbia,12453.482,74.101
Seychelles,17960.354,72.892
Sierra Leone,1161.8798,49.382
Singapore,58618.434,81.833
Sint Maarten (Dutch part),32322.574,77.643
Slovakia,23061.121,75.493
Slovenia,25831.332000000002,79.421
South Africa,11388.641000000001,57.669
South Korea,31589.705,80.432
Spain,31610.98,81.9
Sri Lanka,8390.4297,75.439
Sudan,3608.7856,62.763999999999996
Suriname,12121.652,70.465
Swaziland,7042.5239,46.601000000000006
Sweden,40421.906,81.514
Switzerland,55688.02,82.26899999999999
Syria,5700.3291,72.108
Taiwan,37188.895,78.753
Tajikistan,2784.5146,68.736
Tanzania,1979.1719,58.583999999999996
Thailand,12496.243999999999,74.184
Togo,1222.8151,57.468
Trinidad and Tobago,27510.236,71.946
Tunisia,10647.835,75.041
Turkey,17930.68,74.507
Turkmenistan,16061.43,66.657
Turks and Caicos Islands,7230.9658,79.081
Uganda,1723.5942,57.099
Ukraine,8713.2598,69.361
United Arab Emirates,59707.414000000004,76.332
United Kingdom,34810.281,80.352
United States,49500.629,78.652
Uruguay,15783.405,76.75
Uzbekistan,6574.5166,69.672
Venezuela,16357.737,73.134
Vietnam,4428.4214,74.837
Yemen,4553.5571,65.54899999999999
Zambia,2870.8872,55.655
Zimbabwe,1479.0305,50.64
